M_FXS_RESTVOLTAGE_FXS1,M_FXS_RESTVOLTAGE_FXS2,M_FXS_LIGNECURENT_FXS1,M_FXS_LIGNECURENT_FXS2,M_FXS_ALARMVOLTAGE_FXS1,M_FXS_ALARMVOLTAGE_FXS2,M_FXS_TRANS_FXS1_1000HZ,M_FXS_TRANS_FXS2_1000HZ
47.759998,47.470001,36.25,36.009998,39.509998,38.450001,8.85,9.28
47.73,47.650002,36.389999,34.450001,38.389999,38.130001,8.47,9.19
46.66,46.43,36.220001,35.02,35.689999,35.549999,8.74,9.47
45.75,46.099998,34.209999,34.82,35.240002,35.669998,8.74,9.51
48.009998,47.240002,36.02,36.639999,38.18,38.290001,8.34,9.46
45.75,45.98,36.939999,37.459999,37.419998,37.220001,9.39,9.53
45.889999,45.91,34.82,34.540001,37.5,36.669998,9.49,9.47
48.130001,47.48,36.240002,34.5,36.700001,37.630001,9.06,9.97
46.639999,47.43,35.349998,34.18,36.080002,36.139999,8.49,9.61
45.849998,47.060001,37.029999,35.889999,36.700001,37.52,8.7,9.51
47.73,47.509998,36.330002,36.509998,39.610001,38.810001,8.56,9.38
46.549999,46.330002,37.23,35.040001,36.810001,37.880001,9.29,9.7
46.060001,46.279999,35.799999,33.970001,35.669998,35.959999,8.97,9.6
45.77,46.439999,34.810001,34.900002,37.700001,37.5,9.33,9.4
48.040001,47.75,37.740002,37.330002,37.990002,38.77,8.3,9.34
45.790001,45.189999,34.810001,34.009998,36.77,36.310001,8.46,9.84
46.599998,46.700001,35.580002,33.990002,35.459999,36.09,8.85,9.54
45.77,45.98,34.07,35.630001,35.490002,36.200001,9.29,9.36
45.889999,46.700001,35.849998,37.110001,36.610001,37.799999,9.21,9.61
48.709999,47.73,36.650002,36.470001,37.380001,38.509998,8.98,9.66
47.0,46.889999,36.23,35.91,38.470001,38.810001,9.78,10.06
47.560001,47.349998,36.07,35.779999,39.490002,39.060001,8.61,9.31
46.200001,46.18,36.16,36.0,37.580002,37.080002,8.19,9.62
48.830002,46.599998,35.639999,34.759998,37.540001,37.59,8.8,9.52
47.75,46.959999,37.630001,34.560001,36.880001,36.630001,8.9,9.66
47.619999,47.259998,36.119999,35.779999,39.400002,41.0,9.33,9.41
47.369999,47.130001,36.790001,34.25,38.099998,38.07,8.9,9.44
46.02,47.349998,36.25,35.77,35.669998,36.080002,8.99,9.38
47.700001,46.599998,36.650002,36.5,38.130001,38.240002,8.4,9.28
46.279999,46.720001,34.599998,34.41,36.439999,35.060001,8.93,9.65
47.549999,47.41,35.830002,36.349998,39.400002,40.939999,9.26,9.22
47.68,47.34,36.330002,36.139999,39.43,40.810001,8.65,9.36
48.150002,46.48,35.77,37.599998,37.529999,36.919998,8.21,9.59
48.41,46.889999,36.07,35.639999,38.189999,37.439999,8.68,9.7
46.860001,46.990002,34.82,36.009998,35.599998,35.84,8.59,9.39
46.630001,45.639999,34.52,35.790001,36.029999,35.34,8.83,9.4
46.68,46.970001,35.860001,35.130001,35.759998,35.48,8.74,9.48
45.790001,46.119999,34.43,33.869999,35.509998,36.150002,9.46,9.28
46.66,46.599998,34.41,37.220001,37.470001,36.799999,9.07,9.67
45.439999,46.099998,35.529999,34.349998,37.549999,36.990002,9.14,9.6
45.740002,45.830002,35.240002,37.34,36.91,36.639999,9.08,9.82
47.41,47.459999,36.200001,35.91,39.610001,40.810001,9.14,9.54
46.66,46.439999,35.529999,37.830002,37.560001,37.860001,8.62,9.58
48.200001,47.049999,35.25,37.540001,36.610001,37.25,8.29,9.6
46.860001,47.049999,36.830002,36.080002,35.34,35.790001,8.14,9.5
47.830002,47.25,36.880001,35.990002,39.669998,40.830002,9.14,9.49
47.529999,47.540001,36.880001,34.68,38.59,38.529999,8.88,9.5
46.619999,46.830002,33.900002,33.720001,35.060001,35.220001,8.71,9.39
46.830002,47.330002,34.349998,35.240002,35.400002,35.84,8.92,9.47
47.330002,47.740002,35.48,35.310001,36.779999,37.779999,8.64,9.7
46.040001,46.439999,33.959999,36.220001,36.549999,37.639999,9.44,9.2
46.310001,46.82,34.040001,33.990002,35.610001,36.200001,8.8,9.54
46.990002,45.790001,36.529999,35.889999,37.41,36.59,8.41,9.37
47.700001,46.759998,36.73,36.189999,37.779999,37.490002,8.61,9.53
47.110001,46.299999,35.360001,36.439999,38.369999,37.52,8.8,9.45
47.220001,47.439999,35.130001,33.959999,35.299999,36.060001,8.59,9.48
48.16,47.619999,37.34,35.919998,36.669998,37.84,8.59,9.76
45.689999,46.060001,33.869999,34.27,35.599998,36.110001,8.74,9.44
47.869999,47.41,36.689999,36.119999,39.580002,40.990002,8.63,9.4
46.200001,46.849998,34.07,35.380001,35.459999,35.43,8.73,9.45
46.630001,46.400002,35.549999,33.720001,35.82,35.810001,8.92,9.32
47.200001,46.25,35.049999,35.720001,35.639999,36.299999,8.47,9.51
47.580002,47.130001,35.990002,35.860001,39.509998,41.0,8.85,9.41
46.16,46.5,34.880001,34.599998,35.959999,35.119999,8.82,9.52
47.130001,46.48,34.68,35.41,35.330002,36.349998,9.41,9.41
46.860001,47.299999,34.529999,37.25,37.5,37.779999,8.97,9.57
48.919998,47.790001,36.959999,36.299999,37.84,37.630001,8.98,9.39
46.549999,46.939999,36.610001,34.27,35.310001,35.369999,8.79,9.41
46.240002,45.93,34.82,33.740002,35.759998,35.849998,9.39,9.44
46.41,46.540001,36.220001,35.380001,35.099998,35.869999,8.61,9.57
47.91,47.490002,36.509998,36.66,39.84,38.740002,9.23,9.41
48.41,47.549999,34.790001,36.09,37.279999,37.52,8.32,9.6
46.389999,45.790001,34.150002,33.970001,35.130001,35.549999,8.7,9.3
48.0,47.66,35.209999,37.150002,38.02,37.630001,8.25,9.02
47.75,47.240002,36.48,35.939999,39.310001,40.880001,9.3,9.46
46.509998,46.450001,37.310001,37.66,36.630001,36.630001,9.05,9.57
47.209999,46.41,36.470001,34.299999,36.060001,36.110001,8.91,9.48
48.279999,46.849998,36.360001,36.27,38.349998,38.049999,8.67,9.35
46.639999,45.439999,34.709999,35.439999,36.779999,36.630001,8.63,9.23
46.27,45.73,33.849998,34.150002,35.209999,35.810001,9.34,9.48
46.139999,46.59,35.349998,34.16,36.060001,35.540001,9.46,9.53
47.48,47.509998,37.34,36.349998,37.799999,37.610001,8.66,9.64
46.75,45.970001,34.240002,35.41,35.099998,35.450001,8.83,9.25
45.830002,45.779999,36.799999,35.990002,37.200001,37.5,9.29,9.55
47.779999,47.52,36.48,36.299999,39.639999,40.720001,8.71,9.32
46.599998,46.169998,35.970001,34.599998,35.900002,35.73,8.83,9.34
45.709999,46.849998,35.650002,35.959999,37.380001,36.41,8.77,9.54
47.240002,46.43,36.34,37.080002,37.610001,37.77,8.69,9.32
47.650002,47.139999,36.220001,36.330002,39.610001,40.860001,8.48,9.36
45.91,46.889999,33.009998,33.959999,36.080002,35.52,8.79,9.29
45.970001,45.959999,33.68,36.279999,37.0,36.84,9.41,9.47
47.66,47.200001,36.220001,35.830002,39.360001,41.0,9.38,9.28
47.759998,47.41,36.27,36.200001,39.75,38.860001,8.52,9.37
46.080002,46.950001,34.84,36.279999,37.560001,36.880001,9.5,9.19
46.040001,46.240002,36.68,34.639999,37.200001,36.490002,8.55,9.62
46.040001,45.900002,34.009998,34.040001,35.220001,35.310001,9.01,9.5
45.860001,46.240002,33.790001,36.639999,36.0,36.02,8.23,9.55
47.610001,47.09,36.720001,35.990002,39.549999,40.880001,9.96,9.33
46.279999,46.0,34.240002,34.110001,35.389999,36.080002,8.9,9.54
49.099998,46.709999,36.849998,36.779999,38.259998,37.779999,8.16,9.17
46.549999,45.779999,37.59,34.130001,36.360001,35.130001,8.63,9.56
45.939999,46.23,34.290001,34.330002,35.700001,35.48,8.74,9.32
46.470001,46.389999,35.689999,33.82,37.25,37.5,8.54,9.38
46.27,47.25,33.790001,35.380001,35.369999,35.93,8.76,9.31
47.650002,47.41,36.849998,36.560001,39.57,40.950001,9.23,9.35
47.720001,47.599998,36.040001,36.169998,39.759998,38.740002,9.22,9.42
46.470001,45.970001,36.48,34.869999,36.970001,37.830002,9.04,9.57
48.07,47.900002,35.529999,35.360001,37.41,38.470001,8.93,9.36
47.580002,47.380001,36.139999,36.009998,39.450001,38.380001,8.55,9.45
48.5,47.389999,36.849998,36.07,39.860001,40.990002,9.13,9.13
47.360001,46.330002,35.419998,37.799999,37.75,37.360001,9.18,9.79
46.900002,46.240002,35.720001,35.080002,36.049999,35.27,9.45,9.43
48.16,47.939999,35.439999,35.299999,37.549999,38.099998,8.89,9.65
47.419998,47.279999,35.880001,35.650002,39.540001,38.310001,9.3,9.36
45.73,47.09,36.540001,34.470001,37.380001,36.740002,9.17,9.73
45.66,45.889999,35.799999,33.650002,35.66,35.970001,8.76,9.38
46.400002,47.09,35.75,35.75,36.169998,37.419998,9.43,9.28
46.619999,46.599998,36.0,34.880001,36.380001,35.610001,10.01,9.41
46.990002,46.580002,35.860001,36.139999,35.09,35.73,8.91,9.43
46.91,46.459999,35.02,36.5,36.549999,37.799999,9.15,9.72
47.48,46.59,35.689999,36.09,36.91,37.139999,8.59,9.81
46.509998,46.09,35.799999,36.720001,36.060001,35.990002,8.53,9.6
46.060001,45.66,34.380001,33.799999,36.09,35.900002,8.65,9.5
47.400002,48.02,34.900002,36.32,37.41,37.560001,9.68,9.8
47.75,47.349998,36.139999,35.91,39.779999,38.66,9.88,9.36
47.43,46.540001,36.279999,34.41,37.779999,36.830002,8.44,9.21
